"Payment for order #","Payment for order #"
"The order has been canceled. Order #",The order has been canceled. Order #"
"Redirect to Payssion.com ...","Redirect to Payssion.com ..."
"WalletID","WalletID"
"Payssion.com payments","Payssion.com payments"
"You will be redirected to Payssion.com when you place an order.","You will be redirected to Payssion.com when you place an order."
"To have access to the international payment network of Payssion.com please register on Payssion.com for a free account, if you don’t have one yet.","To have access to the international payment network of Payssion.com please register on Payssion.com for a free account, if you don’t have one yet."
